pl_name,hostname,discoverymethod,disc_year,disc_facility,disc_telescope,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_orbincl,st_spectype,st_teff,st_rad,st_mass,st_lum,st_dens,rastr,ra,decstr,dec,sy_dist,sy_vmag
TOI-2524 b,TOI-2524,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,7.18585,0.073,11.209,203.41018,0.79,0,89.4,G,5831,1.12,1.01,0.116,1.013,10h43m32.84s,160.8868435,-01d54m45.71s,-1.9126984,438.842,12.8
TOI-2525 b,TOI-2525,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,23.2856,0.1511,8.676,26.69759,0.225,0.17,89.5,K8 V,5096,0.79,0.85,-0.44,2.03902,05h47m24.23s,86.8509737,-60d31m16.71s,-60.5213081,395.398,14.216
TOI-2525 c,TOI-2525,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,49.2519,0.249,10.133,208.81326,1.11,0.157,89.97,K8 V,5096,0.79,0.85,-0.44,2.03902,05h47m24.23s,86.8509737,-60d31m16.71s,-60.5213081,395.398,14.216
TOI-2529 b,TOI-2529,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,64.5949,0.327,11.545,743.71847,2.66,0.021,,G,5802,1.7,1.11,0.464,0.326,07h55m58.69s,118.9945352,-52d21m17.40s,-52.3548332,296.271,11.529
TOI-2545 b,TOI-2545,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,7.994037,3.998012086,2.75,8,2.11,,,G,5846.29,1.25,1.06,0.218,0.75564,09h02m10.99s,135.5458029,-03d25m14.95s,-3.4208194,107.118,9.521
TOI-2567 b,TOI-2567,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,5.983944,0.0672,10.929,63.88351,0.269,0,88.3,G,5611,1.69,1.13,0.405,0.34,19h13m51.76s,288.4656683,+66d20m52.58s,66.3479375,504.775,12.3
TOI-257 b,TOI-257,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,18.38818,0.1528,7.163,43.86032,0.65,0,87.91,F,6095,1.87,1.41,0.636,0.305,03h10m04.14s,47.5172608,-50d49m56.15s,-50.8322632,76.9028,7.57
TOI-2570 b,TOI-2570,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,2.9887615,0.04145,13.641,260.61929,0.563,0,87.73,G,5771,1.09,1.06,0.079,1.138,05h48m45.13s,87.1880397,+32d05m02.56s,32.0840435,361.857,12.569
TOI-2583 A b,TOI-2583 A,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,4.5207265,0.0571,14.46,79.4571,0.144,0,88.16,G,5936,1.48,1.22,0.388,0.531,18h09m04.09s,272.2670293,+45d20m12.84s,45.3368996,566.189,12.586
TOI-2587 A b,TOI-2587 A,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,5.45664,0.0635,12.072,69.28659,0.216,0,84.81,G,5760,1.73,1.15,0.471,0.316,07h43m43.61s,115.9317105,-01d04m24.00s,-1.073333,373.675,11.544
TOI-2589 b,TOI-2589,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,61.6277,0.3,12.106,1112.39942,3.45,0.522,89.17,G,5579,1.07,0.93,-0.004,1.14,07h09m57.16s,107.4881501,-37d13m51.41s,-37.230948,200.273,11.415
TOI-260 b,TOI-260,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,13.475853,0.0943,1.71,4.23,4.66,0,88.84,K8 V,4026,0.61,0.62,0.087,4.6966,00h19m05.52s,4.7730178,-09d57m58.14s,-9.9661505,20.1852,9.9
TOI-261.01,TOI-261,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,3.3639254,0.034792,3.045,9.51,1.85,,,G,5890.3,1.28,0.5,0.25,0.71835,01h00m52.35s,15.2181412,-24d25m26.38s,-24.4239934,114.495,9.56
TOI-262 b,TOI-262,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,11.14529,0.163,2.07,4.94,3.06,,89.011,K0 V,5310,0.85,0.91,-0.29,2.09886,02h10m08.32s,32.534687,-31d04m14.26s,-31.0706272,43.932,8.91
TOI-2641 b,TOI-2641,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,4.880974,0.0607,18.103,122.68177,0.092,0.18,83.75,F9 V,6100,1.34,1.16,0.34,0.482,11h24m31.29s,171.1303716,-42d43m55.70s,-42.7321394,344.045,11.693
TOI-2669 b,TOI-2669,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,6.2034,3.376135411,19.728,193.87533,0.139,0.09,,K,4800,4.1,1.19,0.906,0.02538,08h58m53.43s,134.7226445,-13d18m45.29s,-13.3125792,393.443,10.916
TOI-269 b,TOI-269,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,3.6977104,0.0345,2.77,8.8,2.28,0.425,88.14,M2 V,3514,0.4,0.39,-1.647,8.98,05h03m23.11s,75.8462827,-54d10m39.80s,-54.1777213,57.0225,14.37
TOI-270 b,TOI-270,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,3.3601538,0.03197,1.206,1.58,4.97,0.034,89.39,M,3506,0.38,0.39,-1.712,7.2,04h33m39.86s,68.4160804,-51d57m26.62s,-51.9573937,22.4793,12.603
TOI-270 c,TOI-270,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,5.6605731,0.04526,2.355,6.15,2.6,0.027,89.36,M,3506,0.38,0.39,-1.712,7.2,04h33m39.86s,68.4160804,-51d57m26.62s,-51.9573937,22.4793,12.603
TOI-270 d,TOI-270,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,11.379573,0.0721,2.133,4.78,2.72,0.032,89.73,M,3506,0.38,0.39,-1.712,7.2,04h33m39.86s,68.4160804,-51d57m26.62s,-51.9573937,22.4793,12.603
TOI-2714 b,TOI-2714,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,2.499387,0.036,13.72,228,0.49,0.164,86.3,G,5665,1.25,1.07,0.16,0.75003,04h05m36.30s,61.4012482,-14d55m36.28s,-14.9267458,597.873,13.468
TOI-277 b,TOI-277,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,3.994,0.0269,2.65,7.51,2.22,,88.9,K,4031,0.36,0.16,-1.35,4.754,01h16m18.41s,19.0766985,-20d57m11.80s,-20.9532772,64.6692,13.632
TOI-2796 b,TOI-2796,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,4.8084983,0.0569,17.262,139.8445,0.15,0,85.22,G,5764,1.07,1.06,0.055,1.22,05h36m36.65s,84.1527191,+00d53m46.60s,0.8962788,350.343,12.475
TOI-2803 A b,TOI-2803 A,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,1.96229325,0.03185,18.114,309.8827,0.287,0,89,F,6280,1.25,1.12,0.336,0.822,06h12m27.54s,93.1147397,-23d29m32.98s,-23.4924956,494.818,12.537
TOI-2818 b,TOI-2818,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,4.039709,0.0493,15.278,225.65817,0.34,0,87.73,G,5721,1.23,0.98,0.164,0.745,07h56m14.36s,119.0598183,-35d07m00.16s,-35.1167104,312.674,11.937
TOI-2842 b,TOI-2842,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,3.5514058,0.0475,12.845,117.59651,0.304,0,84.42,G,5910,1.27,1.14,0.246,0.789,07h12m10.61s,108.0442066,-10d38m21.62s,-10.63934,460.995,12.59
TOI-286 b,TOI-286,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,4.5117244,0.0503,1.42,4.53,8.63,0,87.52,K3 V,5152,0.78,0.83,0.386,2.42585,06h03m56.23s,90.9842762,-60d39m58.81s,-60.6663348,59.2293,9.866
TOI-286 c,TOI-286,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,39.361826,0.213,1.88,3.72,3.09,0,89.69,K3 V,5152,0.78,0.83,0.386,2.42585,06h03m56.23s,90.9842762,-60d39m58.81s,-60.6663348,59.2293,9.866
TOI-2977 b,TOI-2977,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,2.3505614,0.03386,13.159,533.95172,1.28,0,89.19,G,5691,1.07,0.94,0.037,1.078,09h35m42.36s,143.9265177,-60d21m26.91s,-60.3574758,328.9879567,12.6334
TOI-2981 b,TOI-2981,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,3.601501,0.048,13.4,638,1.46,0.035,87.98,G,5940,1.08,1.03,0.116,1.25475,10h53m56.97s,163.487394,-25d31m28.56s,-25.5245988,527.789,13.361
TOI-3023 b,TOI-3023,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,3.9014971,0.0505,16.432,197.05361,0.245,0,88.9,G,5760,1.67,1.12,0.444,0.346,11h01m15.80s,165.3158231,-72d21m24.14s,-72.3567044,389.916,12.252
TOI-3071 b,TOI-3071,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,1.266938,0.0249,7.16,68.2,1.02,0.09,82.1,F,6177,1.31,1.29,0.417,0.69262,11h33m06.97s,173.2790517,-56d30m12.19s,-56.5033871,485.219,12.383
TOI-3082 b,TOI-3082,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,1.926907,1.548485595,3.662,13,1.45,,87.63,K,4263,0.68,0.66,-0.861,2.91687,13h03m37.94s,195.9080719,-19d13m08.34s,-19.2189845,113.048,12.934
TOI-3235 b,TOI-3235,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,2.59261842,0.02709,11.4,211.35589,0.78,0.029,88.14,M V,3388.8,0.37,0.39,-1.79,10.99,13h49m53.72s,207.4738488,-46d03m59.45s,-46.0665139,72.811,15.16
TOI-3261 b,TOI-3261,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,0.8831331,0.01714,3.82,30.3,3,0,87.8,K1.5+/-1,5068,0.85,0.86,-0.367,1.4,03h10m54.85s,47.7285242,-73d31m55.10s,-73.531972,300.141,13.261
TOI-329 b,TOI-329,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,5.70439,0.0638,4.941,40.4,1.84,0.39,,G,5614,1.53,1.07,0.325,0.4127,23h25m17.06s,351.3210955,-15d38m04.67s,-15.6346313,284.388,11.262
TOI-332 b,TOI-332,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,0.777038,0.0159,3.2,57.2,9.6,0,86.4,K0 V,5251,0.87,0.88,-0.221,1.40879,23h12m14.15s,348.0589516,-44d52m35.35s,-44.8764852,222.852,12.349
TOI-3321 b,TOI-3321,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,3.6525145,0.047,15.558,176.07694,0.255,0.054,86.33,G,5850,1.55,1.04,0.405,0.396,17h43m02.48s,265.7603351,-65d00m29.71s,-65.0082516,285.895,11.076
TOI-3331 A b,TOI-3331 A,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,2.0180231,0.03144,12.98,721.47048,1.82,0,85.4,G,5609,0.95,1.02,-0.093,1.65,18h05m17.80s,271.3241672,-34d06m25.82s,-34.107171,217.193,11.635
TOI-3353.01,TOI-3353,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,4.6657965,0.060118,2.667,7.59,2.2,,,F,6365,1.02,1.33,-0.026,1.32578,07h06m07.16s,106.5298146,-75d49m10.41s,-75.8195594,78.7577,9.327
TOI-3362 b,TOI-3362,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,18.09547,0.153,12.801,1598.35906,4.19,0.815,89.14,F,6532,1.83,1.45,0.739,0.331,10h23m56.19s,155.9841428,-56d50m35.22s,-56.8431169,366.987,10.86
TOI-3364 b,TOI-3364,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,5.8768918,0.0675,12.229,530.77344,1.6,0,88.79,G,5706,1.42,1.19,0.286,0.587,09h38m09.07s,144.5377709,-49d20m06.80s,-49.3352226,277.899,11.875
TOI-3540 A b,TOI-3540 A,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,3.119999,0.04289,23.539,375.03752,0.065,0,81.93,G,5810,1.23,1.08,0.19,0.823,21h55m38.73s,328.9113712,+28d10m46.20s,28.1794996,234.3149507,11.514
TOI-3568 b,TOI-3568,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,4.417965,0.0485,5.3,26.4,0.98,0.035,89.2,K,4969,0.72,0.78,0.33,2.95,21h30m24.57s,322.6023682,+34d44m22.49s,34.7395805,197.906,12.879
TOI-3629 b,TOI-3629,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,3.936551,0.043,8.295,82.63539,0.8,0.05,89.1,M1,3870,0.6,0.63,-1.125,4,23h59m10.41s,359.7933851,+39d18m51.32s,39.3142556,130.091,14.639
